Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (mp2rage_T1Map_r)	Image stdev (mp2rage_T1Map_r)
0	Clear Label	1661999	1.662e+006	961.916	441.052
1	Label 1	1436	1436	1104.21	187.568
2	Label 2	1116	1116	1109.97	205.898
3	Label 3	2417	2417	1184.71	228.422
4	Label 4	1101	1101	1164.81	177.862
5	Label 5	1199	1199	1100.48	134.831
6	Label 6	1224	1224	1100.32	116.064
7	Label 7	676	676	1144.63	127.823
