Label Id	Label Name	Number Of Voxels	Volume (mm^3)	Image mean (mp2rage_T1Map_r)	Image stdev (mp2rage_T1Map_r)
0	Clear Label	1565906	1.56591e+006	986.914	382.637
1	Label 1	978	978	1096.76	191.051
2	Label 2	692	692	1092.08	229.113
3	Label 3	1681	1681	1057.82	182.247
4	Label 4	1023	1023	1031.62	147.541
5	Label 5	978	978	1030.85	119.748
6	Label 6	972	972	1034.31	121.691
7	Label 7	634	634	1039.4	121.345
